Iteração,Acertos,Erros,Movimentos Realizados
1,30,8,7
2,30,2,5
3,30,2,5
4,30,21,12
5,30,5,6
6,30,15,10
7,30,4,5
8,30,2,5
9,30,2,5
10,30,2,5
11,30,4,5
12,30,0,3
13,30,2,5
14,30,6,7
15,30,20,11
16,30,33,16
17,30,9,8
18,30,3,6
19,30,25,14
20,30,33,16
21,30,3,6
22,30,1,4
23,30,11,8
24,30,5,6
25,30,9,8
26,30,19,12
27,30,83,32
28,30,26,13
29,30,9,8
30,30,2,5
