Iteração,Acertos,Erros,Movimentos Realizados
1,30,10,6
2,30,183,64
3,30,23,11
4,30,27,14
5,30,25,10
6,30,35,14
7,30,63,24
8,30,3,3
9,30,19,9
10,30,27,12
Média,30.0,41.5,
