Iteração,Acertos,Erros,Movimentos Realizados
1,30,28,11
2,30,4,4
3,30,32,14
4,30,37,14
5,30,10,6
6,30,29,12
7,30,59,22
8,30,16,8
9,30,5,6
10,30,103,36
Média,30.0,32.3,
