Iteração,Acertos,Erros,Movimentos Realizados
1,50,525,185
2,50,986,337
3,50,103,42
4,50,41,21
5,50,362,129
6,50,33,18
7,50,119,49
8,50,181,68
9,50,227,84
10,50,203,76
Média,50.0,278.0,
