Iteração,Acertos,Erros,Movimentos Realizados
1,50,8,13
2,50,13,14
3,50,28,19
4,50,80,37
5,50,7,10
6,50,19,16
7,50,11,12
8,50,7,10
9,50,13,12
10,50,41,22
Média,50.0,22.7,
