Iteração,Acertos,Erros,Movimentos Realizados
1,30,31,12
2,30,20,10
3,30,3,6
4,30,63,24
5,30,21,11
6,30,45,20
7,30,40,18
8,30,27,12
9,30,28,11
10,30,68,25
11,30,267,92
12,30,40,18
13,30,37,15
14,30,17,8
15,30,46,20
16,30,35,15
17,30,36,16
18,30,5,5
19,30,13,8
20,30,72,28
21,30,14,9
22,30,93,34
23,30,46,17
24,30,47,19
25,30,117,42
26,30,24,9
27,30,3,4
28,30,112,42
29,30,76,30
30,30,78,29
