Iteração,Acertos,Erros,Movimentos Realizados
1,50,143,61
2,50,444,161
3,50,73,33
4,50,872,305
5,50,32,19
6,50,477,172
7,50,306,114
8,50,319,119
9,50,99,44
10,50,223,86
Média,50.0,298.8,
